Code,Company,Sector,Market Cap,Weight
SPK,Spark New Zealand Limited NZX,Telecommunication Services,6084150000,0.37
SPO,Spotless Group Holdings Limited,Industrials,900598000,0.06
SRX,Sirtex Medical Limited,Health Care,920258000,0.06
STO,Santos Limited,Energy,7915060000,0.49
SUL,Super Retail Group Limited,Consumer Discretionary,2080880000,0.13
SUN,Suncorp Group Limited,Financials,17120900000,1.05
SVW,Seven Group Holdings Limited,Industrials,2795530000,0.17
SWM,Seven West Media Limited,Consumer Discretionary,1033000000,0.06
SXL,Southern Cross Media Group Limited,Consumer Discretionary,995873000,0.06
SYD,Sydney Airport Forus,Industrials,13633900000,0.84
SYR,Syrah Resources Limited,Materials,770172000,0.05
TAH,Tabcorp Holdings Limited,Consumer Discretionary,3558240000,0.22
TCL,Transurban Group Stapled,Industrials,22636700000,1.39
TGR,Tassal Group Limited,Consumer Staples,718347000,0.04
TLS,Telstra Corporation Limited,Telecommunication Services,57325700000,3.52
TME,Trade Me Group Limited NZX,Consumer Discretionary,1938150000,0.12
TNE,Technology One Limited,Information Technology,1572760000,0.1
TPM,TPG Telecom Limited,Telecommunication Services,5294470000,0.33
TTS,Tatts Group Limited,Consumer Discretionary,5962190000,0.37
TWE,Treasury Wine Estates Limited,Consumer Staples,8791190000,0.54
VCX,Vicinity Centres Stapled,Real Estate,11440500000,0.7
VOC,Vocus Group Limited,Telecommunication Services,2717150000,0.17
VRT,Virtus Health Limited,Health Care,434838000,0.03
VVR,Viva Energy Reit Stapled,Real Estate,1656360000,0.1
WBC,Westpac Banking Corporation,Financials,113118000000,6.95
WEB,Webjet Limited,Consumer Discretionary,1106300000,0.07
WES,Wesfarmers Limited,Consumer Staples,48313700000,2.97
WFD,Westfield Corporation Stapled,Real Estate,18287200000,1.12
WHC,Whitehaven Coal Limited,Energy,2965270000,0.18
WOR,Worleyparsons Limited,Energy,2627940000,0.16
WOW,Woolworths Limited,Consumer Staples,33183100000,2.04
WPL,Woodside Petroleum Limited,Energy,26402200000,1.62
WSA,Western Areas Limited,Materials,645296000,0.04
